Emotion,Text
joy,sage act upgrade list tommorow
sadness,way homegirl baby funeral man hate funeral really show blessed
joy,eye true brilliant regular feature open countenance complexion oh bloom full health pretty height size firm figure health merely bloom air head glance one hears sometimes child picture health always give idea complete picture health loveliness
fear,expecting extremely important phonecall minute terror opportunity
sadness,wait see live missing painful performing last gig delhi
anger,bull tossed effigy hand became infuriated
sadness,people hide behind fake smile
joy,life leopold must truly happy hope prayer beloved son seemed last come fruition
fear,assault laughter nothing stand mark twain
anger,everything everybody
sadness,dress mm lens pain frown sad andry pouting
surprise,haha course come home different house leave parent redo entire downstairs without warning
joy,feeling fail french
surprise,need tell something guess go phone fucked
joy,fell love overnight felt confidence responsible worthwhile
fear,primitive instinct warns pay attention danger tell act save
fear,riding friend car speed motorway would liked get
sadness,welcome glad could make night love please leave frown sad andry pouting going miss much
surprise,another ending almost pooped pant end last week crazy ending
joy,one could get terribly ecstatic would dangerous thing
sadness,much losing something going fat burger dinner dad
joy,selected study university
fear,friend misunderstood know good
fear,nicolescherzy nicosherzinger xa xa add three thing symptom called nervoso xa xa want learn
shame,nobody doubted failed recognise temporary financial embarrassment
joy,passed exam first class result
surprise,pop amp roll across floor
sadness,oh goodness december window open house winter jack frost missing
fear,year ago father ill stayed hospital long time experienced terrible feeling might lose
sadness,thought already agreed everything going take week
anger,parent allow go social function friend attending
fear,quot family bedrock society unless protect institution marriage country quot
sadness,bro team lost least played swag
joy,heard selected fot first year university zambia form five secondary school
anger,someone tried rape one best friend claimed fault hassled claimed loose threatened sue
joy,welp time study next day
joy,heading campus rain take grad photo
fear,dismay way kid savaging flora stonethwaite good example
sadness,moment terror go drink hot chocolate knowing burn mouth
sadness,well lot pressure bos assigned three project deadline near still finished project
sadness,apparently lost
fear,mattmosley shakiest lead history college laughing loud
fear,people get trapped elevator actually take stair next time let take wear quote life
sadness,rarely desperate need someone talk tonight one night everyone sleeping loss
sadness,h one class counselor died sensitive knew drew improve image missed funeral could publically grieve parent understand
surprise,good morning store today
joy,thebodyshopuk brings bought christmas present load shop happy face smiley
surprise,almost forgot hair red looked mirror
fear,heard father found letter boyfriend calling talk
fear,result seeing walk situation lord faith realizing get
fear,shot horrified look
joy,life leopold must truly happy hope prayer beloved son seemed last come fruition
fear,two year ago saw film tv even make afraid
joy,class jamming last paper quarter reason celebrate though studying begin right
fear,seeing stray dog run right pas morehouse campus
anger,side effect smoking
fear,year old frequently pursued others got sound
fear,frankyfade team hot andrealandis iammynority friscolopez iamthefabian yes sir
joy,wait sleep tomorrow must study tonight tomorrow next night oh essay due
anger,suppressing annoyance called little sara replied well
joy,time unpack finish homework
surprise,stopped today gas small town attendant came tell quot full service young tweeter clue
surprise,wait open christmas prezzie christmas
surprise,decorating entire house christmas cheer mommy
anger,sly left feeling absolutely livid
disgust,sorry blanket comfortable enough kid hehasfeelingstoo eats scab
